xq2_bin,ybin,z_bin,pt2_bin,phi_bin,phi_center_deg,content,error
0,1,2,10,4,157.5,0,0
0,1,2,10,5,202.5,0,0
0,1,2,10,6,247.5,0,0
0,1,2,10,7,292.5,0,0
0,1,2,10,8,337.5,0,0
0,1,2,11,1,22.5,0,0
0,1,2,11,2,67.5,0,0
0,1,2,11,3,112.5,0,0
0,1,2,11,4,157.5,0,0
0,1,2,11,5,202.5,0,0
0,1,2,11,6,247.5,0,0
0,1,2,11,7,292.5,0,0
0,1,2,11,8,337.5,0,0
0,1,3,1,1,22.5,0,0
0,1,3,1,2,67.5,0,0
0,1,3,1,3,112.5,0,0
0,1,3,1,4,157.5,0,0
0,1,3,1,5,202.5,0,0
0,1,3,1,6,247.5,0,0
0,1,3,1,7,292.5,0,0
0,1,3,1,8,337.5,0,0
0,1,3,2,1,22.5,0,0
0,1,3,2,2,67.5,0,0
0,1,3,2,3,112.5,0,0
0,1,3,2,4,157.5,0,0
0,1,3,2,5,202.5,0,0
0,1,3,2,6,247.5,0,0
0,1,3,2,7,292.5,0,0
0,1,3,2,8,337.5,0,0
0,1,3,3,1,22.5,0,0
0,1,3,3,2,67.5,0,0
0,1,3,3,3,112.5,0,0
0,1,3,3,4,157.5,0,0
0,1,3,3,5,202.5,0,0
0,1,3,3,6,247.5,0,0
0,1,3,3,7,292.5,0,0
0,1,3,3,8,337.5,0,0
0,1,3,4,1,22.5,0,0
0,1,3,4,2,67.5,0,0
0,1,3,4,3,112.5,0,0
0,1,3,4,4,157.5,0,0
0,1,3,4,5,202.5,0,0
0,1,3,4,6,247.5,0,0
0,1,3,4,7,292.5,0,0
0,1,3,4,8,337.5,0,0
0,1,3,5,1,22.5,0,0
0,1,3,5,2,67.5,0,0
0,1,3,5,3,112.5,0,0
0,1,3,5,4,157.5,0,0
0,1,3,5,5,202.5,0,0
0,1,3,5,6,247.5,0,0
0,1,3,5,7,292.5,0,0
0,1,3,5,8,337.5,0,0
0,1,3,6,1,22.5,0,0
0,1,3,6,2,67.5,0,0
0,1,3,6,3,112.5,0,0
0,1,3,6,4,157.5,0,0
0,1,3,6,5,202.5,0,0
0,1,3,6,6,247.5,0,0
0,1,3,6,7,292.5,0,0
0,1,3,6,8,337.5,0,0
0,1,3,7,1,22.5,0,0
0,1,3,7,2,67.5,0,0
0,1,3,7,3,112.5,0,0
0,1,3,7,4,157.5,0,0
0,1,3,7,5,202.5,0,0
0,1,3,7,6,247.5,0,0
0,1,3,7,7,292.5,0,0
0,1,3,7,8,337.5,0,0
0,1,3,8,1,22.5,0,0
0,1,3,8,2,67.5,0,0
0,1,3,8,3,112.5,0,0
0,1,3,8,4,157.5,0,0
0,1,3,8,5,202.5,0,0
0,1,3,8,6,247.5,0,0
0,1,3,8,7,292.5,0,0
0,1,3,8,8,337.5,0,0
0,1,3,9,1,22.5,0,0
0,1,3,9,2,67.5,0,0
0,1,3,9,3,112.5,0,0
0,1,3,9,4,157.5,0,0
0,1,3,9,5,202.5,0,0
0,1,3,9,6,247.5,0,0
0,1,3,9,7,292.5,0,0
0,1,3,9,8,337.5,0,0
0,1,3,10,1,22.5,0,0
0,1,3,10,2,67.5,0,0
0,1,3,10,3,112.5,0,0
0,1,3,10,4,157.5,0,0
0,1,3,10,5,202.5,0,0
0,1,3,10,6,247.5,0,0
0,1,3,10,7,292.5,0,0
0,1,3,10,8,337.5,0,0
0,1,3,11,1,22.5,0,0
0,1,3,11,2,67.5,0,0
0,1,3,11,3,112.5,0,0
0,1,3,11,4,157.5,0,0
0,1,3,11,5,202.5,0,0
0,1,3,11,6,247.5,0,0
0,1,3,11,7,292.5,0,0
0,1,3,11,8,337.5,0,0
0,1,4,1,1,22.5,0,0
0,1,4,1,2,67.5,0,0
0,1,4,1,3,112.5,0,0
0,1,4,1,4,157.5,0,0
0,1,4,1,5,202.5,0,0
0,1,4,1,6,247.5,0,0
0,1,4,1,7,292.5,0,0
0,1,4,1,8,337.5,0,0
0,1,4,2,1,22.5,0,0
0,1,4,2,2,67.5,0,0
0,1,4,2,3,112.5,0,0
0,1,4,2,4,157.5,0,0
0,1,4,2,5,202.5,0,0
0,1,4,2,6,247.5,0,0
0,1,4,2,7,292.5,0,0
0,1,4,2,8,337.5,0,0
0,1,4,3,1,22.5,0,0
0,1,4,3,2,67.5,0,0
0,1,4,3,3,112.5,0,0
0,1,4,3,4,157.5,0,0
0,1,4,3,5,202.5,0,0
0,1,4,3,6,247.5,0,0
0,1,4,3,7,292.5,0,0
0,1,4,3,8,337.5,0,0
0,1,4,4,1,22.5,0,0
0,1,4,4,2,67.5,0,0
0,1,4,4,3,112.5,0,0
0,1,4,4,4,157.5,0,0
0,1,4,4,5,202.5,0,0
0,1,4,4,6,247.5,0,0
0,1,4,4,7,292.5,0,0
0,1,4,4,8,337.5,0,0
0,1,4,5,1,22.5,0,0
0,1,4,5,2,67.5,0,0
0,1,4,5,3,112.5,0,0
0,1,4,5,4,157.5,0,0
0,1,4,5,5,202.5,0,0
0,1,4,5,6,247.5,0,0
0,1,4,5,7,292.5,0,0
0,1,4,5,8,337.5,0,0
0,1,4,6,1,22.5,0,0
0,1,4,6,2,67.5,0,0
0,1,4,6,3,112.5,0,0
0,1,4,6,4,157.5,0,0
0,1,4,6,5,202.5,0,0
0,1,4,6,6,247.5,0,0
0,1,4,6,7,292.5,0,0
0,1,4,6,8,337.5,0,0
0,1,4,7,1,22.5,0,0
0,1,4,7,2,67.5,0,0
0,1,4,7,3,112.5,0,0
0,1,4,7,4,157.5,0,0
0,1,4,7,5,202.5,0,0
0,1,4,7,6,247.5,0,0
0,1,4,7,7,292.5,0,0
0,1,4,7,8,337.5,0,0
0,1,4,8,1,22.5,0,0
0,1,4,8,2,67.5,0,0
0,1,4,8,3,112.5,0,0
0,1,4,8,4,157.5,0,0
0,1,4,8,5,202.5,0,0
0,1,4,8,6,247.5,0,0
0,1,4,8,7,292.5,0,0
0,1,4,8,8,337.5,0,0
0,1,4,9,1,22.5,0,0
0,1,4,9,2,67.5,0,0
0,1,4,9,3,112.5,0,0
0,1,4,9,4,157.5,0,0
0,1,4,9,5,202.5,0,0
0,1,4,9,6,247.5,0,0
0,1,4,9,7,292.5,0,0
0,1,4,9,8,337.5,0,0
0,1,4,10,1,22.5,0,0
0,1,4,10,2,67.5,0,0
0,1,4,10,3,112.5,0,0
0,1,4,10,4,157.5,0,0
0,1,4,10,5,202.5,0,0
0,1,4,10,6,247.5,0,0
0,1,4,10,7,292.5,0,0
0,1,4,10,8,337.5,0,0
0,1,4,11,1,22.5,0,0
0,1,4,11,2,67.5,0,0
0,1,4,11,3,112.5,0,0
0,1,4,11,4,157.5,0,0
0,1,4,11,5,202.5,0,0
0,1,4,11,6,247.5,0,0
0,1,4,11,7,292.5,0,0
0,1,4,11,8,337.5,0,0
0,1,5,1,1,22.5,0,0
0,1,5,1,2,67.5,0,0
0,1,5,1,3,112.5,0,0
0,1,5,1,4,157.5,0,0
0,1,5,1,5,202.5,0,0
0,1,5,1,6,247.5,0,0
0,1,5,1,7,292.5,0,0
0,1,5,1,8,337.5,0,0
0,1,5,2,1,22.5,0,0
0,1,5,2,2,67.5,0,0
0,1,5,2,3,112.5,0,0
0,1,5,2,4,157.5,0,0
0,1,5,2,5,202.5,0,0
0,1,5,2,6,247.5,0,0
0,1,5,2,7,292.5,0,0
0,1,5,2,8,337.5,0,0
0,1,5,3,1,22.5,0,0
0,1,5,3,2,67.5,0,0
0,1,5,3,3,112.5,0,0
0,1,5,3,4,157.5,0,0
0,1,5,3,5,202.5,0,0
0,1,5,3,6,247.5,0,0
0,1,5,3,7,292.5,0,0
0,1,5,3,8,337.5,0,0
0,1,5,4,1,22.5,0,0
0,1,5,4,2,67.5,0,0
0,1,5,4,3,112.5,0,0
0,1,5,4,4,157.5,0,0
0,1,5,4,5,202.5,0,0
0,1,5,4,6,247.5,0,0
0,1,5,4,7,292.5,0,0
0,1,5,4,8,337.5,0,0
0,1,5,5,1,22.5,0,0
0,1,5,5,2,67.5,0,0
0,1,5,5,3,112.5,0,0
0,1,5,5,4,157.5,0,0
0,1,5,5,5,202.5,0,0
0,1,5,5,6,247.5,0,0
0,1,5,5,7,292.5,0,0
0,1,5,5,8,337.5,0,0
0,1,5,6,1,22.5,0,0
0,1,5,6,2,67.5,0,0
0,1,5,6,3,112.5,0,0
0,1,5,6,4,157.5,0,0
0,1,5,6,5,202.5,0,0
0,1,5,6,6,247.5,0,0
0,1,5,6,7,292.5,0,0
0,1,5,6,8,337.5,0,0
0,1,5,7,1,22.5,0,0
0,1,5,7,2,67.5,0,0
0,1,5,7,3,112.5,0,0
0,1,5,7,4,157.5,0,0
0,1,5,7,5,202.5,0,0
0,1,5,7,6,247.5,0,0
0,1,5,7,7,292.5,0,0
0,1,5,7,8,337.5,0,0
0,1,5,8,1,22.5,0,0
0,1,5,8,2,67.5,0,0
0,1,5,8,3,112.5,0,0
0,1,5,8,4,157.5,0,0
0,1,5,8,5,202.5,0,0
0,1,5,8,6,247.5,0,0
0,1,5,8,7,292.5,0,0
0,1,5,8,8,337.5,0,0
0,1,5,9,1,22.5,0,0
0,1,5,9,2,67.5,0,0
0,1,5,9,3,112.5,0,0
0,1,5,9,4,157.5,0,0
0,1,5,9,5,202.5,0,0
0,1,5,9,6,247.5,0,0
0,1,5,9,7,292.5,0,0
0,1,5,9,8,337.5,0,0
0,1,5,10,1,22.5,0,0
0,1,5,10,2,67.5,0,0
0,1,5,10,3,112.5,0,0
0,1,5,10,4,157.5,0,0
0,1,5,10,5,202.5,0,0
0,1,5,10,6,247.5,0,0
0,1,5,10,7,292.5,0,0
0,1,5,10,8,337.5,0,0
0,1,5,11,1,22.5,0,0
0,1,5,11,2,67.5,0,0
0,1,5,11,3,112.5,0,0
0,1,5,11,4,157.5,0,0
0,1,5,11,5,202.5,0,0
0,1,5,11,6,247.5,0,0
0,1,5,11,7,292.5,0,0
0,1,5,11,8,337.5,0,0
0,1,6,1,1,22.5,0,0
0,1,6,1,2,67.5,0,0
0,1,6,1,3,112.5,0,0
0,1,6,1,4,157.5,0,0
0,1,6,1,5,202.5,0,0
0,1,6,1,6,247.5,0,0
0,1,6,1,7,292.5,0,0
0,1,6,1,8,337.5,0,0
0,1,6,2,1,22.5,0,0
0,1,6,2,2,67.5,0,0
0,1,6,2,3,112.5,0,0
0,1,6,2,4,157.5,0,0
0,1,6,2,5,202.5,0,0
0,1,6,2,6,247.5,0,0
0,1,6,2,7,292.5,0,0
0,1,6,2,8,337.5,0,0
0,1,6,3,1,22.5,0,0
0,1,6,3,2,67.5,0,0
0,1,6,3,3,112.5,0,0
0,1,6,3,4,157.5,0,0
0,1,6,3,5,202.5,0,0
0,1,6,3,6,247.5,0,0
0,1,6,3,7,292.5,0,0
0,1,6,3,8,337.5,0,0
0,1,6,4,1,22.5,0,0
0,1,6,4,2,67.5,0,0
0,1,6,4,3,112.5,0,0
0,1,6,4,4,157.5,0,0
0,1,6,4,5,202.5,0,0
0,1,6,4,6,247.5,0,0
0,1,6,4,7,292.5,0,0
0,1,6,4,8,337.5,0,0
0,1,6,5,1,22.5,0,0
0,1,6,5,2,67.5,0,0
0,1,6,5,3,112.5,0,0
0,1,6,5,4,157.5,0,0
0,1,6,5,5,202.5,0,0
0,1,6,5,6,247.5,0,0
0,1,6,5,7,292.5,0,0
0,1,6,5,8,337.5,0,0
0,1,6,6,1,22.5,0,0
0,1,6,6,2,67.5,0,0
0,1,6,6,3,112.5,0,0
0,1,6,6,4,157.5,0,0
0,1,6,6,5,202.5,0,0
0,1,6,6,6,247.5,0,0
0,1,6,6,7,292.5,0,0
0,1,6,6,8,337.5,0,0
0,1,6,7,1,22.5,0,0
0,1,6,7,2,67.5,0,0
0,1,6,7,3,112.5,0,0
0,1,6,7,4,157.5,0,0
0,1,6,7,5,202.5,0,0
0,1,6,7,6,247.5,0,0
0,1,6,7,7,292.5,0,0
0,1,6,7,8,337.5,0,0
0,1,6,8,1,22.5,0,0
0,1,6,8,2,67.5,0,0
0,1,6,8,3,112.5,0,0
0,1,6,8,4,157.5,0,0
0,1,6,8,5,202.5,0,0
0,1,6,8,6,247.5,0,0
0,1,6,8,7,292.5,0,0
0,1,6,8,8,337.5,0,0
0,1,6,9,1,22.5,0,0
0,1,6,9,2,67.5,0,0
0,1,6,9,3,112.5,0,0
0,1,6,9,4,157.5,0,0
0,1,6,9,5,202.5,0,0
0,1,6,9,6,247.5,0,0
0,1,6,9,7,292.5,0,0
0,1,6,9,8,337.5,0,0
0,1,6,10,1,22.5,0,0
0,1,6,10,2,67.5,0,0
0,1,6,10,3,112.5,0,0
0,1,6,10,4,157.5,0,0
0,1,6,10,5,202.5,0,0
0,1,6,10,6,247.5,0,0
0,1,6,10,7,292.5,0,0
0,1,6,10,8,337.5,0,0
0,1,6,11,1,22.5,0,0
0,1,6,11,2,67.5,0,0
0,1,6,11,3,112.5,0,0
0,1,6,11,4,157.5,0,0
0,1,6,11,5,202.5,0,0
0,1,6,11,6,247.5,0,0
0,1,6,11,7,292.5,0,0
0,1,6,11,8,337.5,0,0
0,1,7,1,1,22.5,0,0
0,1,7,1,2,67.5,0,0
0,1,7,1,3,112.5,0,0
0,1,7,1,4,157.5,0,0
0,1,7,1,5,202.5,0,0
0,1,7,1,6,247.5,0,0
0,1,7,1,7,292.5,0,0
0,1,7,1,8,337.5,0,0
0,1,7,2,1,22.5,0,0
0,1,7,2,2,67.5,0,0
0,1,7,2,3,112.5,0,0
0,1,7,2,4,157.5,0,0
0,1,7,2,5,202.5,0,0
0,1,7,2,6,247.5,0,0
0,1,7,2,7,292.5,0,0
0,1,7,2,8,337.5,0,0
0,1,7,3,1,22.5,0,0
0,1,7,3,2,67.5,0,0
0,1,7,3,3,112.5,0,0
0,1,7,3,4,157.5,0,0
0,1,7,3,5,202.5,0,0
0,1,7,3,6,247.5,0,0
0,1,7,3,7,292.5,0,0
0,1,7,3,8,337.5,0,0
0,1,7,4,1,22.5,0,0
0,1,7,4,2,67.5,0,0
0,1,7,4,3,112.5,0,0
0,1,7,4,4,157.5,0,0
0,1,7,4,5,202.5,0,0
0,1,7,4,6,247.5,0,0
0,1,7,4,7,292.5,0,0
0,1,7,4,8,337.5,0,0
0,1,7,5,1,22.5,0,0
0,1,7,5,2,67.5,0,0
0,1,7,5,3,112.5,0,0
0,1,7,5,4,157.5,0,0
0,1,7,5,5,202.5,0,0
0,1,7,5,6,247.5,0,0
0,1,7,5,7,292.5,0,0
0,1,7,5,8,337.5,0,0
0,1,7,6,1,22.5,0,0
0,1,7,6,2,67.5,0,0
0,1,7,6,3,112.5,0,0
0,1,7,6,4,157.5,0,0
0,1,7,6,5,202.5,0,0
0,1,7,6,6,247.5,0,0
0,1,7,6,7,292.5,0,0
0,1,7,6,8,337.5,0,0
0,1,7,7,1,22.5,0,0
0,1,7,7,2,67.5,0,0
0,1,7,7,3,112.5,0,0
0,1,7,7,4,157.5,0,0
0,1,7,7,5,202.5,0,0
0,1,7,7,6,247.5,0,0
0,1,7,7,7,292.5,0,0
0,1,7,7,8,337.5,0,0
0,1,7,8,1,22.5,0,0
0,1,7,8,2,67.5,0,0
0,1,7,8,3,112.5,0,0
0,1,7,8,4,157.5,0,0
0,1,7,8,5,202.5,0,0
0,1,7,8,6,247.5,0,0
0,1,7,8,7,292.5,0,0
0,1,7,8,8,337.5,0,0
0,1,7,9,1,22.5,0,0
0,1,7,9,2,67.5,0,0
0,1,7,9,3,112.5,0,0
0,1,7,9,4,157.5,0,0
0,1,7,9,5,202.5,0,0
0,1,7,9,6,247.5,0,0
0,1,7,9,7,292.5,0,0
0,1,7,9,8,337.5,0,0
0,1,7,10,1,22.5,0,0
0,1,7,10,2,67.5,0,0
0,1,7,10,3,112.5,0,0
0,1,7,10,4,157.5,0,0
0,1,7,10,5,202.5,0,0
0,1,7,10,6,247.5,0,0
0,1,7,10,7,292.5,0,0
0,1,7,10,8,337.5,0,0
0,1,7,11,1,22.5,0,0
0,1,7,11,2,67.5,0,0
0,1,7,11,3,112.5,0,0
0,1,7,11,4,157.5,0,0
0,1,7,11,5,202.5,0,0
0,1,7,11,6,247.5,0,0
0,1,7,11,7,292.5,0,0
0,1,7,11,8,337.5,0,0
0,1,8,1,1,22.5,0,0
0,1,8,1,2,67.5,0,0
0,1,8,1,3,112.5,0,0
0,1,8,1,4,157.5,0,0
0,1,8,1,5,202.5,0,0
0,1,8,1,6,247.5,0,0
0,1,8,1,7,292.5,0,0
0,1,8,1,8,337.5,0,0
0,1,8,2,1,22.5,0,0
0,1,8,2,2,67.5,0,0
0,1,8,2,3,112.5,0,0
0,1,8,2,4,157.5,0,0
0,1,8,2,5,202.5,0,0
0,1,8,2,6,247.5,0,0
0,1,8,2,7,292.5,0,0
0,1,8,2,8,337.5,0,0
0,1,8,3,1,22.5,0,0
0,1,8,3,2,67.5,0,0
0,1,8,3,3,112.5,0,0
0,1,8,3,4,157.5,0,0
0,1,8,3,5,202.5,0,0
0,1,8,3,6,247.5,0,0
0,1,8,3,7,292.5,0,0
0,1,8,3,8,337.5,0,0
0,1,8,4,1,22.5,0,0
0,1,8,4,2,67.5,0,0
0,1,8,4,3,112.5,0,0
0,1,8,4,4,157.5,0,0
0,1,8,4,5,202.5,0,0
0,1,8,4,6,247.5,0,0
0,1,8,4,7,292.5,0,0
0,1,8,4,8,337.5,0,0
0,1,8,5,1,22.5,0,0
0,1,8,5,2,67.5,0,0
0,1,8,5,3,112.5,0,0
0,1,8,5,4,157.5,0,0
0,1,8,5,5,202.5,0,0
0,1,8,5,6,247.5,0,0
0,1,8,5,7,292.5,0,0
0,1,8,5,8,337.5,0,0
0,1,8,6,1,22.5,0,0
0,1,8,6,2,67.5,0,0
0,1,8,6,3,112.5,0,0
0,1,8,6,4,157.5,0,0
0,1,8,6,5,202.5,0,0
0,1,8,6,6,247.5,0,0
0,1,8,6,7,292.5,0,0
0,1,8,6,8,337.5,0,0
0,1,8,7,1,22.5,0,0
0,1,8,7,2,67.5,0,0
0,1,8,7,3,112.5,0,0
0,1,8,7,4,157.5,0,0
0,1,8,7,5,202.5,0,0
0,1,8,7,6,247.5,0,0
0,1,8,7,7,292.5,0,0
0,1,8,7,8,337.5,0,0
0,1,8,8,1,22.5,0,0
0,1,8,8,2,67.5,0,0
0,1,8,8,3,112.5,0,0
0,1,8,8,4,157.5,0,0
0,1,8,8,5,202.5,0,0
0,1,8,8,6,247.5,0,0
0,1,8,8,7,292.5,0,0
0,1,8,8,8,337.5,0,0
0,1,8,9,1,22.5,0,0
0,1,8,9,2,67.5,0,0
0,1,8,9,3,112.5,0,0
0,1,8,9,4,157.5,0,0
0,1,8,9,5,202.5,0,0
0,1,8,9,6,247.5,0,0
0,1,8,9,7,292.5,0,0
0,1,8,9,8,337.5,0,0
0,1,8,10,1,22.5,0,0
0,1,8,10,2,67.5,0,0
0,1,8,10,3,112.5,0,0
0,1,8,10,4,157.5,0,0
0,1,8,10,5,202.5,0,0
0,1,8,10,6,247.5,0,0
0,1,8,10,7,292.5,0,0
0,1,8,10,8,337.5,0,0
0,1,8,11,1,22.5,0,0
0,1,8,11,2,67.5,0,0
0,1,8,11,3,112.5,0,0
0,1,8,11,4,157.5,0,0
0,1,8,11,5,202.5,0,0
0,1,8,11,6,247.5,0,0
0,1,8,11,7,292.5,0,0
0,1,8,11,8,337.5,0,0
1,2,1,1,1,22.5,4.04029e+06,799284
1,2,1,1,2,67.5,3.53249e+06,395670
1,2,1,1,3,112.5,3.25221e+06,160465
1,2,1,1,4,157.5,3.10734e+06,350612
1,2,1,1,5,202.5,3.44442e+06,142869
1,2,1,1,6,247.5,4.51223e+06,161637
1,2,1,1,7,292.5,5.1167e+06,446349
1,2,1,1,8,337.5,2.26774e+06,489512
1,2,1,2,1,22.5,2.20279e+06,236911
1,2,1,2,2,67.5,1.29925e+06,80670.3
1,2,1,2,3,112.5,1.51845e+06,75231
1,2,1,2,4,157.5,2.00584e+06,121891
1,2,1,2,5,202.5,1.50795e+06,87858.1
1,2,1,2,6,247.5,1.32739e+06,90622.8
1,2,1,2,7,292.5,4.38024e+06,149141
1,2,1,2,8,337.5,1.75435e+06,407209
1,2,1,3,1,22.5,652525,59287.9
1,2,1,3,2,67.5,644749,30567.3
1,2,1,3,3,112.5,694073,25677.3
1,2,1,3,4,157.5,849275,39039.6
1,2,1,3,5,202.5,713183,26985.6
1,2,1,3,6,247.5,845958,25640.9
1,2,1,3,7,292.5,667498,34253.1
1,2,1,3,8,337.5,868869,108936
1,2,1,4,1,22.5,348744,32690.1
1,2,1,4,2,67.5,375799,18266
1,2,1,4,3,112.5,446544,14454.6
1,2,1,4,4,157.5,451848,23457.2
1,2,1,4,5,202.5,406751,19081.1
1,2,1,4,6,247.5,430355,21234.7
1,2,1,4,7,292.5,373405,21612.1
1,2,1,4,8,337.5,315330,31851.6
1,2,1,5,1,22.5,361455,19597.3
1,2,1,5,2,67.5,336967,11691.5
1,2,1,5,3,112.5,407049,13532.6
1,2,1,5,4,157.5,421497,24276.8
1,2,1,5,5,202.5,423390,20564.8
1,2,1,5,6,247.5,424044,14172.8
1,2,1,5,7,292.5,330731,12021.1
1,2,1,5,8,337.5,272971,25405.1
1,2,1,6,1,22.5,121062,13919.5
1,2,1,6,2,67.5,113599,12288.9
1,2,1,6,3,112.5,140113,17028.9
1,2,1,6,4,157.5,213579,28096
1,2,1,6,5,202.5,221880,25396
1,2,1,6,6,247.5,170795,14645.4
1,2,1,6,7,292.5,164285,10767.9
1,2,1,6,8,337.5,163796,20722.3
1,2,1,7,1,22.5,0,0
1,2,1,7,2,67.5,0,0
1,2,1,7,3,112.5,0,0
1,2,1,7,4,157.5,0,0
1,2,1,7,5,202.5,0,0
1,2,1,7,6,247.5,0,0
1,2,1,7,7,292.5,0,0
1,2,1,7,8,337.5,0,0
